Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C203, C210, C212, C301, C304, C308, C309, C312, C315, C316, C318, C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C416, C417, C501, C503, C505, C601, C603, C701, C703",0402,31,100nF,C307331
"C202, C211",1206,2,"10µF, 50V",C13585
"C204, C205, C213, C214",1206,4,"22µF, 25V",C12891
"C206, C216",0402,2,47pF,C1567
"C207, C208",0805,2,"22µF, 25V",C45783
"C209, C313, C314",0402,3,10pF,C32949
C215,0603,1,30pF,C1658
C302,0402,1,10nF,C15195
"C303, C305, C310, C317, C412, C413",0402,6,1µF,C52923
"C306, C307",0402,2,3p3,C1565
"C311, C319, C502, C504, C506, C602, C604, C702, C704, C801, C802, C803, C804, C805, C806, C807, C808, C809, C810, C811, C812, C813, C814, C815, C816, C817, C818, C819, C820, C821, C822, C823, C824, C825, C826, C827, C828, C901, C902, C903, C904, C905, C906, C907, C908, C909, C910, C911, C912, C913, C914, C915, C916, C917, C918, C919, C920, C921, C922, C923, C924, C925, C926, C927, C928",0603,65,10µF,C96446
C411,0805,1,10µF,C15850
"C414, C415",0402,2,27pF,C1557
"D201, D202, D203, D204",DIOM7959X265N,4,SS34,C8678
"D801, D802, D803, D804, D805, D806, D807, D808, D809, D810, D811, D812, D813, D814, D815, D816, D817, D818, D819, D820, D821, D822, D823, D824, D825, D826, D827, D828, D901, D902, D903, D904, D905, D906, D907, D908, D909, D910, D911, D912, D913, D914, D915, D916, D917, D918, D919, D920, D921, D922, D923, D924, D925, D926, D927, D928",LED_RGB_1210,56,LED_BARG,C513366
J301,microSD_SMD,1,Micro_SD_Card,C5155564
"J302, J401",USB_C_Receptacle,2,USB_C_Receptacle_USB2.0,C709357
"L201, L203",L_Bourns_SRP7028A_7.3x6.6mm,2,33µH,C177245
L202,coil_large,1,Coil,
"L301, L302",0402,2,2n2,C412264
"R201, R202, R204, R205, R303",0402,5,100k,C25741
R203,0402,1,22k,C25768
R206,0603,1,13k,C22797
"R301, R304, R310, R403, R501, R508",0402,6,10k,C25744
R302,0402,1,22,C25092
"R305, R306, R307, R308, R309",0402,5,0,C17168
"R311, R312, R401, R402",0402,4,5k1,C25905
"R404, R405",0402,2,27R,C321419
"R406, R407, R502, R503, R504, R505, R506, R507, R509, R510, R511, R601, R602, R603, R604, R605, R606, R701, R702, R703, R704, R705, R706",0402,23,1k,C11702
R408,0402,1,do not fit,
R409,0402,1,20k,C25765
SW301,ROCPU_switch,1,boot,C5381238
"SW302, SW401",ROCPU_switch,2,reset,C5381238
SW402,ROCPU_switch,1,USB boot,C5381238
"U201, U202",SOT-23-6,2,TPS54202DDC,C191884
U301,PCB_antenna,1,~,
U302,IC_ESP32-S3,1,ESP32-S3,C2913192
"U303, U404",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVS,C97521
"U304, U401",SOT-23-6,2,USBLC6-2SC6,C2687116
U402,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U403,MH253,1,MH253,
"U501, U502, U503, U601, U602, U701, U702",TQFP48-EP_STM,7,STP24DP05BTR,C157417
Y301,Crystal_SMD_4Pin_3.2x2.5mm,1,40 MHz,C379787
Y401,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
